latitude,longitude
-22.92818,-43.57399
-22.92825,-43.57408
-22.92833,-43.57418
-22.92834,-43.57419
-22.92835,-43.5742
-22.92837,-43.57423
-22.92839,-43.57426
-22.9284,-43.57429
-22.9284,-43.57431
-22.92841,-43.57434
-22.92841,-43.57437
-22.92841,-43.57444
-22.92842,-43.57448
-22.92842,-43.57452
-22.92845,-43.57461
-22.92845,-43.57462
-22.92845,-43.57464
-22.92845,-43.57465
-22.92843,-43.57468
-22.92843,-43.57469
-22.92842,-43.5747
-22.92839,-43.57471
-22.92832,-43.57474
-22.92825,-43.57477
-22.92819,-43.5748
-22.92819,-43.57481
-22.92812,-43.57486
-22.92808,-43.57491
-22.92798,-43.57503
-22.92789,-43.57515
-22.92779,-43.57527
-22.92769,-43.57539
-22.9275,-43.57558
-22.92741,-43.57566
-22.92724,-43.57579
-22.92722,-43.57581
-22.92721,-43.57583
-22.92719,-43.57585
-22.92717,-43.57588
-22.92716,-43.57593
-22.92709,-43.57608
-22.92703,-43.57623
-22.92697,-43.57639
-22.92691,-43.57656
-22.92688,-43.57663
-22.92684,-43.57671
-22.92678,-43.57686
-22.92676,-43.57693
-22.92672,-43.57702
-22.92666,-43.57718
-22.92664,-43.57723
-22.9266,-43.57737
-22.92656,-43.57738
-22.92652,-43.57741
-22.92647,-43.57743
-22.92645,-43.57744
-22.92643,-43.57744
-22.92638,-43.57746
-22.92632,-43.57747
-22.92629,-43.57747
-22.92626,-43.57746
-22.92624,-43.57746
-22.92621,-43.57745
-22.92618,-43.57743
-22.92613,-43.57738
-22.92607,-43.57731
-22.92604,-43.57725
-22.92603,-43.5772
-22.92602,-43.57716
-22.92601,-43.57712
-22.9255,-43.57689
-22.92548,-43.57693
-22.92548,-43.57695
-22.92547,-43.57698
-22.92546,-43.577
-22.92546,-43.57703
-22.92545,-43.57711
-22.92544,-43.57719
-22.92536,-43.57716
-22.92504,-43.57702
-22.92456,-43.5768
-22.9244,-43.57672
-22.92458,-43.57629
-22.92464,-43.57615
-22.92465,-43.5761
-22.92466,-43.57608
-22.92465,-43.57606
-22.92465,-43.57603
-22.92463,-43.57601
-22.92444,-43.57574
-22.92434,-43.57561
-22.92423,-43.57547
-22.92467,-43.57507
-22.92498,-43.57477
-22.92526,-43.57448
-22.92555,-43.57421
-22.92556,-43.57421
-22.92624,-43.57358
-22.92638,-43.57344
-22.92658,-43.57325
-22.92686,-43.57298
-22.92702,-43.57283
-22.92711,-43.57275
-22.92732,-43.57254
-22.92739,-43.57245
-22.92739,-43.57241
-22.92738,-43.57238
-22.92738,-43.57236
-22.92738,-43.57233
-22.92649,-43.57172
-22.92642,-43.57167
-22.92634,-43.57161
-22.926,-43.57139
-22.92591,-43.57132
-22.92579,-43.57123
-22.92572,-43.57117
-22.92564,-43.57109
-22.92551,-43.57093
-22.92543,-43.57081
-22.92527,-43.57055
-22.92512,-43.5703
-22.92503,-43.57016
-22.92486,-43.56987
-22.92461,-43.56944
-22.92434,-43.56901
-22.92422,-43.56882
-22.92413,-43.56867
-22.92406,-43.56856
-22.92401,-43.56847
-22.92397,-43.56835
-22.92396,-43.56831
-22.92395,-43.56827
-22.92394,-43.56823
-22.92392,-43.56806
-22.92387,-43.56777
-22.92385,-43.5677
-22.92381,-43.56753
-22.92375,-43.56733
-22.9237,-43.56712
-22.92361,-43.56679
-22.92359,-43.56672
-22.92358,-43.56669
-22.92353,-43.56654
-22.9235,-43.56647
-22.92349,-43.56645
-22.92345,-43.56632
-22.9234,-43.56621
-22.92338,-43.56615
-22.92336,-43.56611
-22.92331,-43.56597
-22.92386,-43.56601
-22.92414,-43.56603
-22.9245,-43.56606
-22.92493,-43.56611
-22.9251,-43.56613
-22.92554,-43.56618
-22.92594,-43.56622
-22.92607,-43.56623
-22.92616,-43.56624
-22.92655,-43.56628
-22.92708,-43.56634
-22.9273,-43.56637
-22.92773,-43.5664
-22.92818,-43.56645
-22.92822,-43.56591
-22.92823,-43.56584
-22.92824,-43.56579
-22.92828,-43.5657
-22.92833,-43.56565
-22.92837,-43.5656
-22.92842,-43.56557
-22.92851,-43.56553
-22.92889,-43.56544
-22.92895,-43.56542
-22.92897,-43.56542
-22.92898,-43.56541
-22.92899,-43.5654
-22.929,-43.56539
-22.929,-43.56538
-22.92901,-43.56537
-22.92901,-43.56536
-22.92901,-43.56534
-22.92899,-43.56533
-22.92898,-43.56531
-22.92894,-43.56528
-22.92875,-43.56517
-22.92793,-43.56467
-22.92797,-43.56459
-22.92806,-43.56441
-22.92813,-43.56426
-22.92818,-43.56417
-22.92797,-43.56403
-22.92789,-43.56399
-22.92772,-43.5639
-22.92763,-43.56385
-22.92748,-43.56377
-22.92739,-43.56372
-22.92726,-43.56364
-22.92705,-43.56351
-22.92699,-43.56346
-22.92688,-43.56334
-22.92683,-43.5633
-22.92679,-43.56325
-22.92672,-43.56316
-22.92669,-43.56311
-22.92665,-43.56304
-22.92661,-43.56296
-22.92656,-43.56288
-22.92655,-43.56284
-22.92654,-43.5628
-22.92653,-43.56275
-22.92651,-43.56242
-22.9265,-43.56207
-22.92647,-43.56169
-22.92791,-43.56185
-22.92647,-43.56169
-22.92646,-43.56133
-22.92645,-43.56098
-22.92642,-43.56062
-22.92642,-43.56032
-22.92642,-43.56026
-22.92642,-43.56022
-22.92642,-43.5602
-22.92644,-43.56016
-22.92646,-43.56013
-22.92648,-43.5601
-22.92648,-43.56007
-22.92649,-43.56004
-22.92693,-43.56009
-22.92717,-43.56011
-22.92766,-43.56015
-22.9277,-43.55875
-22.9277,-43.55869
-22.92771,-43.55848
-22.92772,-43.55757
-22.92772,-43.55748
-22.92772,-43.55705
-22.92772,-43.55661
-22.92838,-43.5566
-22.92836,-43.55804
-22.92836,-43.55823
-22.92837,-43.55829
-22.92836,-43.55843
-22.92836,-43.55874
-22.92836,-43.55877
-22.92835,-43.55946
-22.92834,-43.56004
-22.92833,-43.56023
-22.9284,-43.56024
-22.92854,-43.56025
-22.9289,-43.56029
-22.92932,-43.56032
-22.92997,-43.56038
-22.93033,-43.56042
-22.9308,-43.56047
-22.93087,-43.56022
-22.93096,-43.55989
-22.93118,-43.55914
-22.93134,-43.55857
-22.93141,-43.55829
-22.93145,-43.55816
-22.93166,-43.55747
-22.93199,-43.55629
-22.9318,-43.55617
-22.9316,-43.55602
-22.93126,-43.5558
-22.93117,-43.55571
-22.93108,-43.55563
-22.931,-43.55553
-22.93069,-43.55516
-22.93068,-43.55513
-22.93066,-43.5551
-22.93065,-43.55507
-22.93064,-43.55495
-22.93054,-43.55498
-22.93045,-43.55497
-22.93029,-43.55496
-22.93003,-43.55496
-22.92985,-43.55496
-22.92963,-43.55496
-22.92961,-43.55496
-22.92944,-43.55495
-22.92942,-43.55495
-22.92929,-43.55494
-22.92928,-43.55494
-22.92903,-43.5549
-22.92878,-43.55483
-22.92845,-43.5547
-22.92838,-43.55467
-22.92823,-43.55459
-22.92805,-43.55448
-22.92787,-43.55436
-22.92784,-43.55434
-22.92775,-43.55428
-22.92767,-43.5542
-22.92759,-43.55414
-22.92728,-43.55386
-22.92708,-43.55369
-22.92685,-43.5535
-22.92652,-43.55321
-22.92619,-43.55294
-22.92609,-43.55286
-22.92576,-43.55258
-22.92569,-43.55251
-22.9256,-43.55243
-22.92552,-43.55237
-22.92543,-43.5523
-22.92531,-43.55221
-22.92543,-43.5523
-22.92552,-43.55237
-22.9256,-43.55243
-22.92569,-43.55251
-22.92576,-43.55258
-22.92609,-43.55286
-22.92619,-43.55294
-22.92652,-43.55321
-22.92685,-43.5535
-22.92708,-43.55369
-22.92728,-43.55386
-22.92759,-43.55414
-22.92752,-43.55429
-22.92747,-43.55451
-22.92743,-43.55462
-22.9274,-43.55472
-22.92739,-43.55479
-22.92738,-43.55489
-22.92736,-43.55496
-22.92731,-43.55512
-22.92711,-43.55579
-22.92704,-43.55598
-22.92699,-43.55609
-22.92691,-43.55624
-22.92684,-43.55635
-22.92679,-43.55644
-22.92675,-43.55648
-22.9267,-43.55653
-22.92664,-43.5566
-22.92661,-43.55663
-22.92627,-43.55692
-22.92601,-43.55716
-22.92585,-43.5573
-22.92577,-43.55738
-22.92571,-43.55745
-22.92566,-43.5575
-22.92561,-43.55757
-22.92558,-43.55762
-22.92556,-43.55767
-22.92554,-43.55772
-22.92552,-43.55777
-22.9255,-43.55785
-22.92549,-43.55794
-22.92548,-43.55803
-22.92547,-43.55829
-22.92546,-43.55858
-22.92545,-43.55881
-22.92544,-43.55887
-22.92544,-43.55916
-22.92543,-43.55948
-22.9254,-43.55995
-22.92532,-43.56015
-22.92526,-43.56032
-22.92519,-43.56051
-22.9248,-43.56136
-22.92474,-43.56147
-22.92472,-43.56152
-22.92469,-43.56157
-22.92467,-43.56162
-22.92464,-43.56166
-22.92461,-43.56171
-22.92457,-43.56177
-22.92451,-43.56184
-22.92445,-43.5619
-22.92439,-43.56196
-22.92432,-43.56204
-22.9242,-43.56214
-22.92393,-43.56235
-22.92389,-43.56237
-22.92386,-43.56239
-22.92376,-43.56244
-22.92363,-43.56249
-22.92351,-43.56253
-22.92339,-43.56257
-22.92329,-43.56259
-22.92323,-43.5626
-22.92315,-43.56261
-22.92268,-43.56268
-22.92263,-43.5627
-22.92223,-43.56275
-22.92207,-43.56278
-22.922,-43.56279
-22.92191,-43.56282
-22.92187,-43.56284
-22.92181,-43.56287
-22.92178,-43.56288
-22.92176,-43.56288
-22.92174,-43.5629
-22.9217,-43.56291
-22.92167,-43.56293
-22.92162,-43.56297
-22.92158,-43.563
-22.92155,-43.56302
-22.9215,-43.56305
-22.92145,-43.56309
-22.92141,-43.56312
-22.92136,-43.56319
-22.92135,-43.56323
-22.92132,-43.56331
-22.92129,-43.5634
-22.92135,-43.56344
-22.92136,-43.56345
-22.92139,-43.56348
-22.92141,-43.56351
-22.92145,-43.56356
-22.9215,-43.5636
-22.92154,-43.56366
-22.92161,-43.56374
-22.92168,-43.56383
-22.92172,-43.56388
-22.92179,-43.56396
-22.92186,-43.56404
